,category,author,rank,publish_date,title,url
0,超优质,小王Albert,1,昨天,安倍晋三的好学生高市早苗，为何硬着头皮挑衅中国,https://www.bilibili.com/video/BV1bTULBCEaA/
1,超优质,小王Albert,2,11-18,首相一年内还不是个“人”，高市早苗口嗨装死，真要玩崩日本？【岛岛连线】,https://www.bilibili.com/video/BV1sRy3BnE6B/
2,超优质,小王Albert,3,11-15,非洲红色政权自己反复打烂自己，变成无望的萨普故乡【中非 06丨刚果（布）】,https://www.bilibili.com/video/BV1FbCTBfEbc/
3,超优质,小王Albert,4,11-09,西方玩冷战，美国脑控欧洲，为什么中国要坚持交流？,https://www.bilibili.com/video/BV1m12gBsEWL/
4,超优质,小王Albert,5,11-07,东南亚人情大派对，东北亚极右软着陆，中国崛起周围都清澈了【岛岛见面会】,https://www.bilibili.com/video/BV1Gj23BNEY3/
5,超优质,小王Albert,6,10-31,一条视频看十月世界：政府停摆、贸易大战、中美握手、台湾问题加速,https://www.bilibili.com/video/BV1um1MBpES6/
6,超优质,小王Albert,7,10-25,乱不爆、穷不垮、政变干不掉，92岁总统裱糊绝技【中非05丨喀麦隆】,https://www.bilibili.com/video/BV1xjsHzEExk/
7,超优质,小王Albert,8,10-19,高市早苗是巨人or假右？国民党又内斗？东亚选票精算师割不动了？【岛岛连线】,https://www.bilibili.com/video/BV1icsAz2Ea1/
8,超优质,小王Albert,9,10-17,500公里跨国拍摄，看哈萨克斯坦为什么需要中国？,https://www.bilibili.com/video/BV1VLWyzsE8X/
9,超优质,小王Albert,10,10-11,汽车出口第一，下一个要摘的工业明珠是什么？,https://www.bilibili.com/video/BV1MG4wzTEod/
10,超优质,小Lin说,1,11-14,GDP是会骗人的 | 一口气了解GDP,https://www.bilibili.com/video/BV1EjCgBeEn5/
11,超优质,小Lin说,2,10-25,那些被制裁最最严重的国家，都怎么样了?,https://www.bilibili.com/video/BV1qVsRzbEQ2/
12,超优质,小Lin说,3,10-15,"全球乱跑的""最贵""视频，看我发现了什么…？",https://www.bilibili.com/video/BV1wK4vznEW3/
13,超优质,小Lin说,4,10-12,美元暴跌的背后...,https://www.bilibili.com/video/BV14U4uzRE1X/
14,超优质,小Lin说,5,09-16,一口气了解伊朗经济,https://www.bilibili.com/video/BV1MEp1z7EAx/
15,超优质,小Lin说,6,08-29,"中国经济2025 (小结, 简单聊聊)",https://www.bilibili.com/video/BV1A3hRzpEY5/
16,超优质,小Lin说,7,08-19,期货，为什么总是拉爆债市、股市、油价？ 资本世界的多空大战有多凶残...,https://www.bilibili.com/video/BV12YeczEE6x/
17,超优质,小Lin说,8,08-11,机器人，真的要来了么...？,https://www.bilibili.com/video/BV1AcbVzwEEc/
18,超优质,小Lin说,9,07-31,"什么是""金融赌场""，它背后有什么秘密？",https://www.bilibili.com/video/BV1ZG8kzuEnD/
19,超优质,小Lin说,10,07-15,一口气了解稳定币,https://www.bilibili.com/video/BV1SquEzGERq/
20,超优质,罗永浩的十字路口,1,11-20,【正片】何同学×罗永浩！青年何同学的骄傲与烦恼,https://www.bilibili.com/video/BV1G7yGBvEqs/
21,超优质,罗永浩的十字路口,2,11-19,录制时我一直在由衷夸赞何同学，因为他确实是个很好的年轻人。11 月 20 日中午 12 点，看看他身上有哪些闪光点。,https://www.bilibili.com/video/BV1YHy5B6EFS/
22,超优质,罗永浩的十字路口,3,11-19,和很多人记忆里的场面不同，这次是坐在我对面的那个人，掏出了一摞PPT......11 月 20 日中午 12 点，看看何同学的 PPT 里到底写了什么。,https://www.bilibili.com/video/BV1VHy5B6ENm/
23,超优质,罗永浩的十字路口,4,11-19,原来何同学真的是“有备而来”。11 月 20 日中午 12 点，看看他给我带来什么样让人意外的“小礼物”。,https://www.bilibili.com/video/BV157y5BVEf1/
24,超优质,罗永浩的十字路口,5,11-11,【正片】魔术大师刘谦×罗永浩！你所不知道的刘谦,https://www.bilibili.com/video/BV1dqkZBhEz3/
25,超优质,罗永浩的十字路口,6,11-05,一个视频讲清楚，为什么叫净烟机不叫油烟机。,https://www.bilibili.com/video/BV1Yv17BHEUi/
26,超优质,罗永浩的十字路口,7,11-05,究竟是什么新玩意，解决了我想吃口热锅现炒的难题？,https://www.bilibili.com/video/BV1sY1EBkE9U/
27,超优质,罗永浩的十字路口,8,10-29,【正片】贾樟柯×罗永浩！成为贾樟柯（上）,https://www.bilibili.com/video/BV1tWyyBDEmE/
28,超优质,罗永浩的十字路口,9,10-22,【正片】名创优品叶国富×罗永浩！重塑线下购物，让人们重新爱上逛街！,https://www.bilibili.com/video/BV1xCWXzTE1U/
